path,categories,uz,total_hits,ext
dataset3/%D0%A0%D0%90%D0%A1_766-%D1%80.pdf,{},нет признаков,0,pdf
dataset3/Prikaz-1801.pdf,{},нет признаков,0,pdf
dataset3/approve39-2023.pdf,{},нет признаков,0,pdf
dataset3/P2402_28_12_2018.pdf,{},нет признаков,0,pdf
dataset3/П483 Докт.pdf,{},нет признаков,0,pdf
dataset3/Prikaz 18033_24.12.2015.pdf,{},нет признаков,0,pdf
dataset3/2024-1.pdf,{},нет признаков,0,pdf
dataset3/Ukaz Prezidenta 378.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/070404_M_3_30062017.pdf,{},нет признаков,0,pdf
dataset3/Декларация Железноводск2016.xls,"{""обычные"": 6, ""специальные"": 1}",УЗ-1,7,xls
dataset3/ОС_05.03.01.pdf,{},нет признаков,0,pdf
dataset3/ОС_07.03.04.pdf,{},нет признаков,0,pdf
dataset3/prikaz35od.pdf,{},нет признаков,0,pdf
dataset3/38.04.01.pdf,"{""обычные"": 3, ""специальные"": 1}",УЗ-1,4,pdf
dataset3/P324_OD.pdf,{},нет признаков,0,pdf
dataset3/Информационное письмо ВАК - 05.04.2024.pdf,{},нет признаков,0,pdf
dataset3/Urban_Design.pdf,"{""обычные"": 4}",УЗ-4,4,pdf
dataset3/39.04.01.pdf,{},нет признаков,0,pdf
dataset3/Spanish%20course%20B.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/11.04.04.pdf,{},нет признаков,0,pdf
dataset3/Prot4_17.07.2025.pdf,"{""обычные"": 3, ""государственные"": 98, ""специальные"": 1}",УЗ-1,102,pdf
dataset3/45.03.01_Филология_П41-ОД.pdf,{},нет признаков,0,pdf
dataset3/Prikaz-1846_Application2-Act.rtf,"{""обычные"": 1}",УЗ-4,1,rtf
dataset3/Свидетельство 40.04.01_Юрист-государствовед.pdf,{},нет признаков,0,pdf
dataset3/Ð Ð¾ÑÑÐ¾Ð²-Ð½Ð°-ÐÐ¾Ð½Ñ.pdf,{},нет признаков,0,pdf
dataset3/09.03.04 Программная инженерия.pdf,{},нет признаков,0,pdf
dataset3/%D0%9F%D0%A0%D0%9E%D0%93%D0%A0%D0%90%D0%9C%D0%9C%D0%90%20%D0%9C%D0%9D%D0%9F%D0%9A%20.pdf,"{""обычные"": 7, ""специальные"": 1}",УЗ-1,8,pdf
dataset3/progr_anatomy_2025.pdf,{},нет признаков,0,pdf
dataset3/П937 ВО для иностранных граждан.pdf,{},нет признаков,0,pdf
dataset3/Binder1.pdf,{},нет признаков,0,pdf
dataset3/Azov_conf-requirements.rtf,"{""обычные"": 1}",УЗ-4,1,rtf
dataset3/070403_M_3_30062017.pdf,{},нет признаков,0,pdf
dataset3/%D0%9F373-%D0%9E%D0%94%20%D0%A0%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%A6%D0%B5%D0%BD%D1%82%D1%80%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D1%82%D0%B5%D0%BD%D1%86%D0%B8%D0%B9.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство ПОА 05.04.06.pdf,{},нет признаков,0,pdf
dataset3/П-37-ОД изменения в 44.05.01.pdf,{},нет признаков,0,pdf
dataset3/5.1.3.pdf,"{""обычные"": 2, ""специальные"": 1}",УЗ-1,3,pdf
dataset3/Poryadok_2018.pdf,{},нет признаков,0,pdf
dataset3/28.04.01_Нанотехнологии и микросистемная техника_П210-ОД_ПИШ.pdf,{},нет признаков,0,pdf
dataset3/sved_o_d_u_2017.xls,"{""обычные"": 2, ""специальные"": 1}",УЗ-1,3,xls
dataset3/090303_B_3_17102017.pdf,{},нет признаков,0,pdf
dataset3/P207_23.06.2023.pdf,{},нет признаков,0,pdf
dataset3/П1370 54.04.02 ДПИ.pdf,{},нет признаков,0,pdf
dataset3/Ukaz Prezidenta 478_16.08.21.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset3/P1676_16.07.2024.pdf,{},нет признаков,0,pdf
dataset3/%D0%9F180-%D0%9E%D0%94%2044.03.04.pdf,{},нет признаков,0,pdf
dataset3/dog_pril3.pdf,{},нет признаков,0,pdf
dataset3/Trusted_AI_for_Blockchain.pdf,{},нет признаков,0,pdf
dataset3/P438.pdf,{},нет признаков,0,pdf
dataset3/otbor_k.pdf,"{""обычные"": 179, ""государственные"": 1, ""специальные"": 1}",УЗ-1,181,pdf
dataset3/1202003270029.pdf,{},нет признаков,0,pdf
dataset3/Protokol_1.pdf,"{""обычные"": 7, ""специальные"": 1}",УЗ-1,8,pdf
dataset3/e341c346955f24a09fba0a84d37a870a.pdf,"{""обычные"": 8, ""специальные"": 1}",УЗ-1,9,pdf
dataset3/Свидетельство ПОА 27.04.06.pdf,{},нет признаков,0,pdf
dataset3/Prikaz_П1203.pdf,{},нет признаков,0,pdf
dataset3/%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20223%20%D0%BD%D0%BA.pdf,{},нет признаков,0,pdf
dataset3/182-%D0%9E%D0%94.pdf,{},нет признаков,0,pdf
dataset3/090403_M_3_12102017.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство ПОА 37.03.02.pdf,{},нет признаков,0,pdf
dataset3/5.2.6.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/ist_isk.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset3/Координаты для связи с профильными структурными подразделениями_3.pdf,"{""обычные"": 102, ""специальные"": 1}",УЗ-1,103,pdf
dataset3/11.07.2023%20%20%D0%9F229-%D0%9E%D0%94%20%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%82%D0%BE%D1%87%D0%BA%D0%B5%20%D0%BA%D0%B8%D0%BF%D0%B5%D0%BD%D0%B8%D1%8F.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/Заявление.docx,{},нет признаков,0,docx
dataset3/Svidetelstvo_2018_pril3.pdf,{},нет признаков,0,pdf
dataset3/Prikaz-1627.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство 42.04.02.pdf,{},нет признаков,0,pdf
dataset3/%D0%9F183-%D0%9E%D0%94%2044.04.03.pdf,{},нет признаков,0,pdf
dataset3/%D0%A0613%20%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B0%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D1%82%D0%B5%D0%BD%D1%86%D0%B8%D0%B9.pdf,"{""обычные"": 3}",УЗ-4,3,pdf
dataset3/П197-ОД 09.03.04.pdf,{},нет признаков,0,pdf
dataset3/patent-2415158.pdf,{},нет признаков,0,pdf
dataset3/44.04.01_spanish.pdf,"{""обычные"": 2, ""специальные"": 1}",УЗ-1,3,pdf
dataset3/D212-208-10_01-04-03_TimoshenkoPE_Paper.pdf,{},нет признаков,0,pdf
dataset3/rating_izmentniya 20_2.pdf,{},нет признаков,0,pdf
dataset3/гост 2008.pdf,{},нет признаков,0,pdf
dataset3/090304_B_3_17102017.pdf,{},нет признаков,0,pdf
dataset3/osn_geo_obr.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/П47-ОД_МИМДО_03.03.2022.pdf,"{""обычные"": 5, ""биометрические"": 1}",УЗ-1,6,pdf
dataset3/prikaz_808.pdf,{},нет признаков,0,pdf
dataset3/06.04.01.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/5.4.4.pdf,{},нет признаков,0,pdf
dataset3/П277-ОД_01.11.2024.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство ПОА 37.04.01.pdf,{},нет признаков,0,pdf
dataset3/5.6.1.pdf,{},нет признаков,0,pdf
dataset3/П-323_15_03_2019.pdf,{},нет признаков,0,pdf
dataset3/Aula_Hispánica_osen_2018_rus.doc,"{""обычные"": 1}",УЗ-4,1,doc
dataset3/Реестровая выписка_29.05.29025.pdf,"{""обычные"": 6, ""государственные"": 2}",УЗ-2,8,pdf
dataset3/rasp722-p_20140430.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/N413_17_05_2012.rtf,"{""обычные"": 5, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,7,rtf
dataset3/П213-ОД 44.03.01.pdf,{},нет признаков,0,pdf
dataset3/П283-ОД_01.11.2024.pdf,{},нет признаков,0,pdf
dataset3/51n.pdf,{},нет признаков,0,pdf
dataset3/19n.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство 06.04.01.pdf,{},нет признаков,0,pdf
dataset3/44.03.04_ОС_Проф.обуч.(по отр)_compressed.pdf,{},нет признаков,0,pdf
dataset3/П1371 54.04.01 Дизайн.pdf,{},нет признаков,0,pdf
dataset3/pol_hightech.pdf,{},нет признаков,0,pdf
dataset3/protokol.pdf,"{""обычные"": 7, ""специальные"": 1}",УЗ-1,8,pdf
dataset3/PAC_968-P.pdf,{},нет признаков,0,pdf
dataset3/6. СПО Ин .pdf,{},нет признаков,0,pdf
dataset3/_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D1%8B%20%D0%9F%D0%98%D0%A0%20%D0%B4%D0%BB%D1%8F%20%D0%9C%D0%9E%D0%9D_16-12-15.pdf,{},нет признаков,0,pdf
dataset3/plan_r_kons.doc,{},нет признаков,0,doc
dataset3/Декларация Махачкала.xls,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,xls
dataset3/5. СПО РФ П1231.pdf,{},нет признаков,0,pdf
dataset3/Pr637_01.04.2024.pdf,{},нет признаков,0,pdf
dataset3/%D0%A1%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0%20%D0%BE%20%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%B8%D0%B8%20%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%83%D1%81%D0%BB%D0%BE%D0%B2%D0%B8%D0%B9%20.pdf,{},нет признаков,0,pdf
dataset3/prikaz_12n_ot_26.07.2018.pdf,{},нет признаков,0,pdf
dataset3/П1043 о стоимости СПО в 2021.pdf,{},нет признаков,0,pdf
dataset3/How_to_get_enrolled_2025.pdf,"{""обычные"": 2}",УЗ-4,2,pdf
dataset3/EBBondarevskaia_conference-info.rtf,"{""обычные"": 1}",УЗ-4,1,rtf
dataset3/06.04.02.pdf,"{""обычные"": 3, ""специальные"": 1}",УЗ-1,4,pdf
dataset3/ÂÕ1011.pdf,{},нет признаков,0,pdf
dataset3/5.4.6.pdf,{},нет признаков,0,pdf
dataset3/zhiv_cher.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset3/sved_o_d_k_2015.xls,"{""обычные"": 4, ""специальные"": 1}",УЗ-1,5,xls
dataset3/p685-od-2014.pdf,{},нет признаков,0,pdf
dataset3/p2683.pdf,{},нет признаков,0,pdf
dataset3/D212-208-10_01-04-03_TimoshenkoPE_Synopsis.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство ПОА 11.04.02.pdf,{},нет признаков,0,pdf
dataset3/%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.docx,"{""обычные"": 5}",УЗ-3,5,docx
dataset3/10.03.01 Информационная безопасность.pdf,{},нет признаков,0,pdf
dataset3/fk.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/pr6_09022013.pdf,{},нет признаков,0,pdf
dataset3/38.04.02_ETP.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство ПОА 11.04.04.pdf,{},нет признаков,0,pdf
dataset3/2.2.13.pdf,"{""обычные"": 4}",УЗ-4,4,pdf
dataset3/П1132 ДПО курсы русского.pdf,{},нет признаков,0,pdf
dataset3/geo_ino.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/02.04.02.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset3/П9-ОД_20.01.2025.pdf,{},нет признаков,0,pdf
dataset3/metod_prof.pdf,"{""обычные"": 4}",УЗ-4,4,pdf
dataset3/Protokol_prez_N2.pdf,"{""обычные"": 7, ""специальные"": 1}",УЗ-1,8,pdf
dataset3/01.04.02 Прикладная математика и информатика.pdf,{},нет признаков,0,pdf
dataset3/resh_minobr_10111998.pdf,{},нет признаков,0,pdf
dataset3/03.04.02.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/sved_o_d_f_u_2014.docx,"{""обычные"": 6, ""специальные"": 1}",УЗ-1,7,docx
dataset3/П226-ОД 09.03.03.pdf,{},нет признаков,0,pdf
dataset3/google_privacy_policy_en_eu.pdf,{},нет признаков,0,pdf
dataset3/Приказ от 01.04.2025 2471-ок.pdf,{},нет признаков,0,pdf
dataset3/gk6wsflsno7xkvnynehy33ugy7n098ue.pdf,"{""обычные"": 7, ""специальные"": 1}",УЗ-1,8,pdf
dataset3/fis_podg_ino.pdf,"{""обычные"": 1, ""специальные"": 1}",УЗ-1,2,pdf
dataset3/Изменения Устав 8 октября 2019.pdf,{},нет признаков,0,pdf
dataset3/Sootv_mag_2025.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/5.9.2.pdf,{},нет признаков,0,pdf
dataset3/cher.pdf,"{""обычные"": 1}",УЗ-4,1,pdf
dataset3/bio_him_obr.pdf,{},нет признаков,0,pdf
dataset3/P89.pdf,{},нет признаков,0,pdf
dataset3/p590-od2014.pdf,{},нет признаков,0,pdf
dataset3/%D0%A0%D0%90%D0%A1%D0%9F1035-%D1%80%20HR.pdf,"{""обычные"": 2}",УЗ-4,2,pdf
dataset3/sved_o_d_u_2015.xls,"{""обычные"": 6, ""специальные"": 1}",УЗ-1,7,xls
dataset3/%D0%A0%D0%90%D0%A1_303-%D1%80.pdf,"{""обычные"": 2}",УЗ-4,2,pdf
dataset3/scientific%20journal.doc,{},нет признаков,0,doc
dataset3/П1188.pdf,{},нет признаков,0,pdf
dataset3/5.12.1.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/Aula_Hispanica_vesna_2018.pdf,"{""обычные"": 7}",УЗ-3,7,pdf
dataset3/Prikaz-1845_Application1-Report.rtf,"{""обычные"": 1}",УЗ-4,1,rtf
dataset3/processing__agreement.pdf,"{""обычные"": 18, ""государственные"": 1, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,21,pdf
dataset3/010303_B_3_08022018.pdf,{},нет признаков,0,pdf
dataset3/formulario_inscripcion_dele_2022.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset3/upr_proc.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset3/VSOCH_2025.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/Prikaz_458.pdf,{},нет признаков,0,pdf
dataset3/Сведения о доходах проректоров директоров филиалов и зам главного бухгалтера ФГАОУ ВО ЮФУ 2021.xls,"{""обычные"": 6}",УЗ-3,6,xls
dataset3/20240411_171533.pdf,{},нет признаков,0,pdf
dataset3/sogl_sv.pdf,{},нет признаков,0,pdf
dataset3/Лицей ЮФУ_ПОЛОЖЕНИЕ о ВД.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/vi_asp.docx,"{""обычные"": 1}",УЗ-4,1,docx
dataset3/Свидетельство 44.03.01.pdf,{},нет признаков,0,pdf
dataset3/03-5-01-005.pdf,"{""обычные"": 5, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,7,pdf
dataset3/P146_24.05.2023.pdf,{},нет признаков,0,pdf
dataset3/П451_12.03.2025.pdf,{},нет признаков,0,pdf
dataset3/%D0%9A%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C_%D0%B0%D0%B1%D0%B8%D1%82%D1%83%D1%80%D0%B8%D0%B5%D0%BD%D1%82%D0%B0_%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82.pdf,{},нет признаков,0,pdf
dataset3/П947 о подготовке НПК в аспирантуре иностранные граждане.pdf,{},нет признаков,0,pdf
dataset3/P232_18.07.2023.pdf,{},нет признаков,0,pdf
dataset3/27_03_01.pdf,{},нет признаков,0,pdf
dataset3/SFedU_.pdf,"{""обычные"": 2}",УЗ-4,2,pdf
dataset3/2.5.13.pdf,"{""обычные"": 1, ""специальные"": 1}",УЗ-1,2,pdf
dataset3/П222-ОД 07.03.02.pdf,{},нет признаков,0,pdf
dataset3/%D0%A0%D0%90%D0%A1_263-%D1%80%2015.03.pdf,"{""обычные"": 1}",УЗ-4,1,pdf
dataset3/070303_B_3_03072017.pdf,{},нет признаков,0,pdf
dataset3/Protokol_5_30.08.2023.pdf,{},нет признаков,0,pdf
dataset3/П270-ОД Центр развития партнёрств.pdf,{},нет признаков,0,pdf
dataset3/%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D1%81%D1%84%D0%B5%D1%80%D0%BD%D0%B0%D1%8F-%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C.pdf,{},нет признаков,0,pdf
dataset3/П13-ОД о внесении изменений в 27.03.03 и 09.03.02.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство 37.05.01.pdf,{},нет признаков,0,pdf
dataset3/49PSMN519.pdf,"{""обычные"": 24, ""государственные"": 1, ""специальные"": 1}",УЗ-1,26,pdf
dataset3/tehn_int.pdf,"{""обычные"": 6, ""специальные"": 1}",УЗ-1,7,pdf
dataset3/Приказ МОН от 05.08.2021 N 715 - Порядок проведения конкурса НР.pdf,{},нет признаков,0,pdf
dataset3/Политика_конфиденциальности_объясняем_рф.pdf,{},нет признаков,0,pdf
dataset3/%D0%B0%D0%BD%D0%BA%D0%B5%D1%82%D0%B0.docx,{},нет признаков,0,docx
dataset3/П2357.pdf,{},нет признаков,0,pdf
dataset3/Competitions_list-2017_16.08-info.pdf,{},нет признаков,0,pdf
dataset3/politika-cookies.pdf,{},нет признаков,0,pdf
dataset3/12_03_01.pdf,{},нет признаков,0,pdf
dataset3/rasp2190-p_20121126.pdf,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,pdf
dataset3/%D0%A0%D0%90%D0%A1_712-%D1%80%20%D0%BE%D0%B1%D1%89%D0%B5%D0%B5%20%D1%81%D0%BE%D0%B1%D1%80%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D0%B8.pdf,{},нет признаков,0,pdf
dataset3/Свидетельство ПОА 07.03.01.pdf,{},нет признаков,0,pdf
dataset3/060401_M_3_31082020.pdf,{},нет признаков,0,pdf
dataset3/П199-ОД_изм.ОС (ИКТиБ).pdf,{},нет признаков,0,pdf
dataset3/П-607_18_04_2019.pdf,{},нет признаков,0,pdf
dataset3/meteorolog.pdf,"{""обычные"": 2, ""специальные"": 1}",УЗ-1,3,pdf
dataset3/sved_o_d_f_n_2014.doc,{},нет признаков,0,doc
dataset3/wpm5skhpgcr5ncwf6dwz92dutt9ucc13.pdf,"{""обычные"": 5, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,7,pdf
dataset3/040302_B_3_08082017.pdf,{},нет признаков,0,pdf
dataset3/П89-ОД.pdf,{},нет признаков,0,pdf
dataset3/kreativ_kom.pdf,{},нет признаков,0,pdf
dataset3/П-2401_28_12_2018.pdf,{},нет признаков,0,pdf
dataset3/Planes2015_rus.pdf,"{""обычные"": 5}",УЗ-3,5,pdf
dataset3/dog_pril19.pdf,{},нет признаков,0,pdf
dataset3/sved_dohod_2023.pdf,"{""обычные"": 7, ""государственные"": 1, ""специальные"": 1}",УЗ-1,9,pdf
dataset3/CommissionReviewProtocol.pdf,{},нет признаков,0,pdf
dataset3/P429_13.03.2024.pdf,{},нет признаков,0,pdf
