path,categories,uz,total_hits,ext,trace
Прочее\%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_%D0%93%D0%BE%D1%81%D1%83%D1%81%D0%BB%D1%83%D0%B3%D0%B8.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_%D0%9C%D0%A4%D0%A6.pdf,{'обычные': 3},УЗ-4,3,.pdf,
Прочее\%D0%9A%D0%94-015.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9A%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C_%D0%B0%D0%B1%D0%B8%D1%82%D1%83%D1%80%D0%B8%D0%B5%D0%BD%D1%82%D0%B0_%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9C%D0%B5%D1%80%D0%BE%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D1%8F_%D0%9D%D0%90%D0%9C_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_2022.pdf,{'специальные': 1},УЗ-2,1,.pdf,
Прочее\%D0%9E%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D1%8B_%D0%B2%D0%BE%D1%81%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F.pdf,"{'обычные': 6, 'специальные': 1}",УЗ-1,7,.pdf,
Прочее\%D0%9E%D1%82%D1%87%D0%B5%D1%82%20%D0%BE%20%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B5.docx,{},NO_PDN,0,.docx,
Прочее\%D0%9F%D0%90%D0%9C%D0%AF%D0%A2%D0%9A%D0%90%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%B7%D0%B6%D0%B0%D1%8E%D1%89%D0%B8%D1%85%202025.pdf,"{'обычные': 15, 'специальные': 1}",УЗ-1,16,.pdf,
Прочее\%D0%9F%D0%9F_2025_19.01.2025_%D0%B8%D1%82%D0%BE%D0%B31.pdf,"{'обычные': 187, 'специальные': 1}",УЗ-1,188,.pdf,
Прочее\%D0%9F%D0%A0%D0%9E%D0%93%D0%A0%D0%90%D0%9C%D0%9C%D0%90%20%D0%9C%D0%9D%D0%9F%D0%9A%20.pdf,"{'обычные': 405, 'специальные': 2}",УЗ-1,407,.pdf,
Прочее\%D0%9F%D0%A3%D0%91%D0%9B%D0%98%D0%A7%D0%9D%D0%AB%D0%99%20%D0%9E%D0%A2%D0%A7%D0%81%D0%A2%20%D0%A2%D0%9A%20%D0%AE%D0%A4%D0%A3%202020_0.pdf,"{'обычные': 55, 'биометрические': 1, 'специальные': 1}",УЗ-1,57,.pdf,
Прочее\%D0%9F%D0%A4%D0%A5%D0%94%202022%20%20%20%D0%B8%D0%B7%D0%BC%2001%20%D1%81%20%D0%BE%D1%82%D1%82%D0%B8%D1%81%D0%BA%D0%BE%D0%BC.pdf,"{'обычные': 17, 'государственные': 1, 'платёжные': 3}",УЗ-2,21,.pdf,
Прочее\%D0%9F%D0%A4%D0%A5%D0%94%202022%20%20%20%D0%B8%D0%B7%D0%BC%2002%20%D1%81%20%D0%BE%D1%82%D1%82%D0%B8%D1%81%D0%BA%D0%BE%D0%BC.pdf,"{'обычные': 17, 'государственные': 1, 'платёжные': 4}",УЗ-2,22,.pdf,
Прочее\%D0%9F%D0%A4%D0%A5%D0%94%202022%20%20%20%D0%B8%D1%81%D1%85%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9%20%D1%81%20%D0%BE%D1%82%D1%82%D0%B8%D1%81%D0%BA%D0%BE%D0%BC.pdf,"{'обычные': 17, 'государственные': 1, 'платёжные': 4}",УЗ-2,22,.pdf,
Прочее\%D0%9F%D0%A4%D0%A5%D0%94%202023%20%20%20%D0%B8%D1%81%D1%85%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9%20%D1%81%20%D0%BE%D1%82%D1%82%D0%B8%D1%81%D0%BA%D0%BE%D0%BC.pdf,"{'обычные': 14, 'государственные': 1, 'платёжные': 5, 'специальные': 1}",УЗ-1,21,.pdf,
Прочее\%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_2025_%D0%A3%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%BE_%D0%9E%D1%80%D0%B3%D0%BA%D0%BE%D0%BC%D0%B8%D1%82%D0%B5%D1%82%D0%BE%D0%BC.pdf,{'обычные': 25},УЗ-3,25,.pdf,
Прочее\%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0-%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0_%D0%BC%D0%B0%D0%B3%D0%B8%D1%81%D1%82%D1%80-2025.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20%D0%BE%D0%B1%20%D1%83%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D0%BD%D0%BE%D0%BC%D0%B5%D0%BD%D0%BA%D0%BB%D0%B0%D1%82%D1%83%D1%80%D1%8B.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20%E2%84%96%201072%20(%D0%94%20999.027.02).pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20223%20%D0%BD%D0%BA.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20N906.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%201.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%207%20(%D0%A2%D0%B0%D0%B3%D0%B0%D0%BD%D1%80%D0%BE%D0%B3).pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0_%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D1%8F_%D0%BA%D0%BB%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%B0_%D0%B4%D0%BE_2020%D0%B3.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D1%87%D1%91%D1%82%20%D0%A2%D0%9A%20%D0%AE%D0%A4%D0%A3.pdf,"{'обычные': 84, 'платёжные': 5, 'специальные': 1}",УЗ-1,90,.pdf,
Прочее\%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D1%87%D1%91%D1%82%202021.pdf,"{'обычные': 75, 'платёжные': 5, 'биометрические': 1, 'специальные': 1}",УЗ-1,82,.pdf,
Прочее\%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D1%87%D1%91%D1%82%202023.pdf,"{'обычные': 18, 'специальные': 1}",УЗ-1,19,.pdf,
Прочее\%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9_%D0%BE%D1%82%D1%87%D1%91%D1%82_%D0%A2%D0%9A_%D0%AE%D0%A4%D0%A3_2024.pdf,"{'обычные': 75, 'платёжные': 6, 'специальные': 2}",УЗ-1,83,.pdf,
Прочее\%D0%9F112-%D0%9E%D0%94_%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%B2%D0%BE%D1%81%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F.pdf,"{'обычные': 43, 'специальные': 2}",УЗ-1,45,.pdf,
Прочее\%D0%9F144.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F15_%D0%9C%D0%A3%D0%90%D0%9C_%D0%A6%D0%9A.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F1620_%D0%9F%D0%BB%D0%B0%D0%BD%20%D0%92%D0%A0%20%D0%BD%D0%B0%202021-2022%20%D1%83%D1%87.%D0%B3%D0%BE%D0%B4.pdf,"{'обычные': 899, 'специальные': 3}",УЗ-1,902,.pdf,
Прочее\%D0%9F163-%D0%9E%D0%94_08.04.2025.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F1631_%D0%9E%D0%9F%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%B2%D0%BE%D1%81%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\%D0%9F168-%D0%9E%D0%94%2037.05.01.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F1719%20%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%20%D1%88%D0%BA%D0%BE%D0%BB%D0%B0%20%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81%D0%B0.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F178-%D0%9E%D0%94%2044.03.02.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F179-%D0%9E%D0%94%2044.03.03.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F180-%D0%9E%D0%94%2044.03.04.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F181-%D0%9E%D0%94%2044.03.05.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F182-%D0%9E%D0%94%2044.04.02.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F183-%D0%9E%D0%94%2044.04.03.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F184-%D0%9E%D0%94%2044.04.04.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F185-%D0%9E%D0%94%2044.05.01.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F186-%D0%9E%D0%94%2009.04.01.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F187-%D0%9E%D0%94%2010.05.03.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F1923.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F320-%D0%9E%D0%94_%D0%9F%D1%80%D0%BE%D1%84%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_%D0%AE%D0%A4%D0%A3.pdf,"{'обычные': 9, 'платёжные': 1}",УЗ-2,10,.pdf,
Прочее\%D0%9F336-%D0%9E%D0%94_05.12.2022_%20%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%20%D0%AE%D0%A4%D0%A3_10.05.04.pdf,{'обычные': 4},УЗ-4,4,.pdf,
Прочее\%D0%9F373-%D0%9E%D0%94%20%D0%A0%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%A6%D0%B5%D0%BD%D1%82%D1%80%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D1%82%D0%B5%D0%BD%D1%86%D0%B8%D0%B9.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F385-%D0%9E%D0%94.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%9F401.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1%D0%9F1035-%D1%80%20HR.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\%D0%A0%D0%90%D0%A1%D0%9F211-%D1%80%20%20%D0%B0%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F%20%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D0%B2_0.pdf,{'обычные': 3},УЗ-4,3,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_127-%D1%80%20%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_128-%D0%A0%20%D0%97%D0%B0%D0%BA%D1%80%D1%8B%D1%82%D0%B8%D0%B5%20%D0%A8%D0%9C%D0%91%203.0.pdf,"{'обычные': 14, 'специальные': 1}",УЗ-1,15,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_1338-%D0%A0%20%D0%9A%D1%80%20%D1%81%D1%82%D0%BE%D0%BB%20%D0%94%D0%9D%D0%9A.pdf,"{'обычные': 11, 'специальные': 1}",УЗ-1,12,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_142-%D1%80%20(1).pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_143-%D1%80.pdf,"{'обычные': 9, 'специальные': 2}",УЗ-1,11,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_146-%D1%80.pdf,"{'обычные': 18, 'специальные': 2}",УЗ-1,20,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_152-%D1%80.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_153-%D0%A0.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_1532-%D1%80.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_1635-%D0%A0%20%D0%98%D1%82%D0%BE%D0%B3%D0%B8%20%D0%B3%D0%BE%D0%B4%D0%B0%20%D0%B2%20%D0%A2%D0%BE%D1%87%D0%BA%D0%B5%20%D0%BA%D0%B8%D0%BF%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%AE%D0%A4%D0%A3.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_263-%D1%80%2015.03.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_264-%D1%80%20HR%20%D0%BA%D0%BB%D1%83%D0%B1%2014.03.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_303-%D1%80.pdf,{'обычные': 2},УЗ-4,2,.pdf,
