path,categories,uz,total_hits,ext,trace
Прочее\Course%20syllabus%20sample%20(International%20standards%20for%20legal%20-%20%D0%90%D1%80%D0%B7%D1%83%D0%BC%D0%B0%D0%BD%D1%8F%D0%BD).pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Ecology%20of%20the%20city.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Environmental%20problems%20and%20environmental%20pollution.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Key%20Concepts%20in%20Urban%20and%20Cultural%20Studies.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Scientific%20research%20design%20of%20urban%20environment.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Territory%20branding.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Urban%20design%20project%204.%20Renovation%20of%20the%20urban%20environment.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Urban%20design%20project%205.%20Designing%20an%20environment%20based%20on%20the%20concept%20of%20identity.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20sample_Urban%20development.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus%20Sociology%20of%20the%20Internet.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus_Culture%20and%20Philosophy%20of%20Ancient%20Greece%20in%20Russian%20studies%20of%20Classics_2022.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus_Logical%20Argumentation%20and%20Critical%20Thinking_2022.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus_Methodology%20of%20Social%20Sciences%20and%20Humanities_2022.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus_Nedin.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\Course%20syllabus_Religions%20%20.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\Course%20syllabus_Semiotic%20Studies%20in%20Russia%20and%20Development%20of%20the%20Humanities%20in%20Europe_2022.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Course%20syllabus_Soviet%20Science%20and%20Science%20in%20Modern%20Russia_2022.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\cpgz2j07avd690b8sv0s21rxpuypsq9t.pdf,{'обычные': 72},УЗ-3,72,.pdf,
Прочее\CS06_04.tif,{},NO_PDN,0,.tif,
Прочее\CS10.mp4,{},NO_PDN,0,.mp4,
Прочее\CT_RB_2025.pdf,{'обычные': 9},УЗ-3,9,.pdf,
Прочее\Cutting-edge%20management%20in%20hotels%20and%20hospitality%20enterprises.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\CVDrKased.pdf,"{'обычные': 4, 'биометрические': 1}",УЗ-1,5,.pdf,
Прочее\d1e7a0684a9e51c599fb223264e96189.pdf,"{'обычные': 39, 'специальные': 2}",УЗ-1,41,.pdf,
Прочее\D212-208-10_01-04-03_TimoshenkoPE_Paper.pdf,{},NO_PDN,0,.pdf,
Прочее\D212-208-10_01-04-03_TimoshenkoPE_Synopsis.pdf,{},NO_PDN,0,.pdf,
Прочее\Decree-502.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\deklaracia_cennostey_rau_25rQIGLhZ1JgSZ04q1668188834.pdf,{},NO_PDN,0,.pdf,
Прочее\Der.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\DGTU-conference-programm.rtf,{'обычные': 1},УЗ-4,1,.rtf,
Прочее\diz_komp.pdf,"{'обычные': 1, 'специальные': 1}",УЗ-1,2,.pdf,
Прочее\do-market-commentary-global-disclosure.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\doc05362520220404131040 (2).pdf,{},NO_PDN,0,.pdf,
Прочее\dog_pril1.pdf,{},NO_PDN,0,.pdf,
Прочее\dog_pril13.pdf,{},NO_PDN,0,.pdf,
Прочее\dog_pril15.pdf,{},NO_PDN,0,.pdf,
Прочее\dog_pril17.pdf,{},NO_PDN,0,.pdf,
Прочее\dog_pril19.pdf,{},NO_PDN,0,.pdf,
Прочее\dog_pril3.pdf,{},NO_PDN,0,.pdf,
Прочее\dog_pril9.pdf,{},NO_PDN,0,.pdf,
Прочее\Donnews-Mediakit.pdf,"{'обычные': 1, 'специальные': 1}",УЗ-1,2,.pdf,
Прочее\dopnabor-2023.pdf,{'обычные': 12},УЗ-3,12,.pdf,
Прочее\dsu-symposium-2024.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\DSUFeedbackAnalysisReport.pdf,"{'платёжные': 7, 'биометрические': 1}",УЗ-1,8,.pdf,
Прочее\DSUSampleFilledFeedbackCollected.pdf,{},NO_PDN,0,.pdf,
Прочее\DSUStakeholdersFeedbackATR.pdf,"{'обычные': 149, 'платёжные': 1}",УЗ-2,150,.pdf,
Прочее\DSUStatuteswef02-11-2020.pdf,{},NO_PDN,0,.pdf,
Прочее\DSU_AC.pdf,{},NO_PDN,0,.pdf,
Прочее\DSU_City_innovation_Campus_Programs_2025.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\DSU_Main_Campus_Programs_2025.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\DSU_Research_Ethics_Policy_2021.pdf,{'биометрические': 1},УЗ-2,1,.pdf,
Прочее\e341c346955f24a09fba0a84d37a870a.pdf,{'обычные': 26},УЗ-3,26,.pdf,
Прочее\EAU_activities_plan-2018.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\EBBondarevskaia_conference-info.rtf,{'обычные': 1},УЗ-4,1,.rtf,
Прочее\ece_2025.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\Ecology%20of%20the%20city.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Economics%20of%20Sports.pdf,{},NO_PDN,0,.pdf,
Прочее\Ecosystems.pdf,"{'обычные': 4, 'специальные': 1}",УЗ-1,5,.pdf,
Прочее\edu_directory_pd_partner_list.pdf,{},NO_PDN,0,.pdf,
Прочее\edvr4ufwv5zh72zrpiplz60e2rtwethf.pdf,{'обычные': 70},УЗ-3,70,.pdf,
Прочее\ekol_prirod.pdf,{'обычные': 12},УЗ-3,12,.pdf,
Прочее\eko_geo.pdf,"{'обычные': 30, 'специальные': 3}",УЗ-1,33,.pdf,
Прочее\eko_mon.pdf,"{'обычные': 43, 'платёжные': 1, 'специальные': 1}",УЗ-1,45,.pdf,
Прочее\eko_str.pdf,"{'обычные': 6, 'платёжные': 1, 'специальные': 1}",УЗ-1,8,.pdf,
Прочее\elibrary_23574569_13998696.pdf,{},NO_PDN,0,.pdf,
Прочее\elibrary_25302434_33897683.pdf,{},NO_PDN,0,.pdf,
Прочее\elibrary_26561301_36954629.pdf,{},NO_PDN,0,.pdf,
Прочее\emir-frandt-disclosure.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\emir-frandt-request-for-proposal.pdf,{'обычные': 3},УЗ-4,3,.pdf,
Прочее\Entrepreneurship%20in%20Hospitality.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Environmental%20problems%20and%20environmental%20pollution%20.docx,{},NO_PDN,0,.docx,
Прочее\ergo.pdf,"{'обычные': 13, 'специальные': 1}",УЗ-1,14,.pdf,
Прочее\Errand_RFFI-form-v2.rtf,{'обычные': 1},УЗ-4,1,.rtf,
Прочее\eticheskiy_kodeks_1.pdf,{},NO_PDN,0,.pdf,
Прочее\Excursion%20business.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\E_brochure_08022024.pdf,{'биометрические': 1},УЗ-2,1,.pdf,
Прочее\f1m24swvehna3obtnn9xofw2bff4emsq.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\f985xk95uk352rnl7d2guv812ndifv14.pdf,{'обычные': 74},УЗ-3,74,.pdf,
Прочее\fb66cb01477a968bfe786611fb0eea9b.pdf,{'обычные': 37},УЗ-3,37,.pdf,
Прочее\FCP_competitions-notice.rtf,{'обычные': 1},УЗ-4,1,.rtf,
Прочее\Fee payable order ACY 2024-25 (1).pdf,{},NO_PDN,0,.pdf,
Прочее\fin_teh.pdf,"{'обычные': 16, 'специальные': 1}",УЗ-1,17,.pdf,
Прочее\fis_podg_ino.pdf,"{'обычные': 1, 'специальные': 1}",УЗ-1,2,.pdf,
Прочее\fk.pdf,"{'обычные': 7, 'платёжные': 1, 'специальные': 1}",УЗ-1,9,.pdf,
Прочее\FK_sport.pdf,"{'обычные': 7, 'специальные': 1}",УЗ-1,8,.pdf,
Прочее\Flyer-Central Research Facilities_11zon.pdf,{},NO_PDN,0,.pdf,
Прочее\Flyer-Central%20Research%20Facilities_11zon.pdf,{},NO_PDN,0,.pdf,
Прочее\Folleto_cursos_ruso1.pdf,{'обычные': 5},УЗ-3,5,.pdf,
Прочее\formo.rtf,{'обычные': 1},УЗ-4,1,.rtf,
Прочее\formulario_inscripcion_dele_2022.pdf,{'обычные': 5},УЗ-3,5,.pdf,
Прочее\Freedom%20of%20Speech%20and%20Academic%20Freedom%20Code%20of%20Practice%20-%20v3.4.pdf,{'обычные': 7},УЗ-3,7,.pdf,
Прочее\Fundamentals%20of%20Tourism.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\FZ 273 ob obrazovanii-rf.doc,{},NO_PDN,0,.doc,
Прочее\FZ 273.rtf,"{'обычные': 811, 'платёжные': 235, 'биометрические': 1}",УЗ-1,1047,.rtf,
Прочее\FZ 44.pdf,{},NO_PDN,0,.pdf,
Прочее\gender_equality_plan.pdf,{'платёжные': 1},УЗ-3,1,.pdf,
Прочее\GenerationS-info.rtf,{'обычные': 1},УЗ-4,1,.rtf,
Прочее\geo.pdf,"{'обычные': 29, 'специальные': 3}",УЗ-1,32,.pdf,
Прочее\geolog.pdf,"{'обычные': 12, 'платёжные': 1, 'специальные': 1}",УЗ-1,14,.pdf,
Прочее\geo_inf.pdf,{'обычные': 7},УЗ-3,7,.pdf,
Прочее\geo_ino.pdf,"{'обычные': 29, 'специальные': 3}",УЗ-1,32,.pdf,
Прочее\Ghidul_Studentului_2023.pdf,"{'обычные': 1, 'платёжные': 1, 'биометрические': 1}",УЗ-1,3,.pdf,
Прочее\gidrolog.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\gk6wsflsno7xkvnynehy33ugy7n098ue.pdf,{'обычные': 57},УЗ-3,57,.pdf,
Прочее\Global%20research%20trends%20in%20branches%20of%20sociology.docx,{},NO_PDN,0,.docx,
Прочее\gl_VII_exam_P120-OD_reglament_PK.pdf,{'обычные': 11},УЗ-3,11,.pdf,
Прочее\gl_VI_P120-OD_reglament_PK.pdf,{'обычные': 12},УЗ-3,12,.pdf,
Прочее\gl_V_exam_P120-OD_reglament_PK.pdf,{'обычные': 6},УЗ-3,6,.pdf,
Прочее\google_privacy_policy_en_eu.pdf,{},NO_PDN,0,.pdf,
Прочее\google_privacy_policy_nl_eu.pdf,{},NO_PDN,0,.pdf,
Прочее\google_terms_of_service_en_eu.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\google_terms_of_service_nl_eu.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\goslicense.pdf,"{'обычные': 15, 'специальные': 1}",УЗ-1,16,.pdf,
Прочее\Government-order_220-notice.rtf,{'обычные': 1},УЗ-4,1,.rtf,
Прочее\graf.pdf,{},NO_PDN,0,.pdf,
Прочее\g_p9-od.pdf,{},NO_PDN,0,.pdf,
Прочее\HA06_10.tif,{},NO_PDN,0,.tif,
Прочее\HA12_01.tif,{},NO_PDN,0,.tif,
Прочее\HA17_02.tif,{},NO_PDN,0,.tif,
Прочее\Harohalli_Hostel_Student_handbook.pdf,{'биометрические': 1},УЗ-2,1,.pdf,
Прочее\Highlights 18.pdf,"{'обычные': 16, 'платёжные': 2, 'биометрические': 1}",УЗ-1,19,.pdf,
Прочее\himiya.pdf,{},NO_PDN,0,.pdf,
Прочее\himiya_ino.pdf,{},NO_PDN,0,.pdf,
Прочее\HiTech_Vitoshko.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\Horario_Aula_Hispanica_febrero-abril_2020.doc,{},NO_PDN,0,.doc,
Прочее\Horario_Aula_Hispanica_octubre-diciembre_2020.doc,{},NO_PDN,0,.doc,
Прочее\Horario_Aula_Hispánica_marzo-junio-2021.docx,{'обычные': 5},УЗ-3,5,.docx,
Прочее\Hostel_Fee_2025_1.pdf,{},NO_PDN,0,.pdf,
Прочее\How_to_get_enrolled_2025.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\HS09_03.tif,{},NO_PDN,0,.tif,
Прочее\HS18_03.tif,{},NO_PDN,0,.tif,
Прочее\HS39_02.tif,{'специальные': 1},УЗ-2,1,.tif,
Прочее\hud_of.pdf,{'обычные': 5},УЗ-3,5,.pdf,
Прочее\ichki_tartib_qoidalar_2024.pdf,{'биометрические': 1},УЗ-2,1,.pdf,
Прочее\IDP.pdf,{'биометрические': 1},УЗ-2,1,.pdf,
Прочее\ID_2025.pdf,"{'обычные': 44, 'специальные': 2}",УЗ-1,46,.pdf,
Прочее\incidents.json,"{'обычные': 28, 'платёжные': 9, 'биометрические': 1}",УЗ-1,38,.json,
Прочее\incidents.schema.json,{},NO_PDN,0,.json,
Прочее\inf2016.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\INFN_AI_Strategy_2024_aggiornato.pdf,{},NO_PDN,0,.pdf,
Прочее\INFN_NEXT_EU_FRAMEWORK_PROGRAMME_2024.pdf,{'биометрические': 1},УЗ-2,1,.pdf,
Прочее\Inform-pismoSTO2016.doc,{},NO_PDN,0,.doc,
Прочее\informatika.pdf,"{'обычные': 5, 'специальные': 1}",УЗ-1,6,.pdf,
Прочее\Informatsionnoe-pismo-Olimpiada-SFEDU-English-25.doc,{},NO_PDN,0,.doc,
Прочее\Informatsionnoe-pismo_2024.pdf,"{'обычные': 6, 'специальные': 1}",УЗ-1,7,.pdf,
Прочее\inf_teh.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\ingak_description.pdf,"{'обычные': 6, 'специальные': 1}",УЗ-1,7,.pdf,
Прочее\inostr.pdf,{},NO_PDN,0,.pdf,
Прочее\inostr_ino.pdf,{},NO_PDN,0,.pdf,
Прочее\inostr_ino2.pdf,{},NO_PDN,0,.pdf,
Прочее\instr_PNO.pdf,{},NO_PDN,0,.pdf,
Прочее\Instr_test_2024.pdf,{'обычные': 3},УЗ-4,3,.pdf,
Прочее\Instr_test_2025.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\Integrated Marine Research Center.pdf,{'обычные': 4},УЗ-4,4,.pdf,
Прочее\International%20transport%20law.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\ipa2014%20(1).docx,{'обычные': 2},УЗ-4,2,.docx,
Прочее\IQACcell.pdf,"{'обычные': 8, 'государственные': 1}",УЗ-2,9,.pdf,
Прочее\isk_int.pdf,"{'обычные': 9, 'специальные': 1}",УЗ-1,10,.pdf,
Прочее\ist.pdf,{},NO_PDN,0,.pdf,
Прочее\ist_arh.pdf,"{'обычные': 69, 'специальные': 1}",УЗ-1,70,.pdf,
Прочее\ist_gos.pdf,{},NO_PDN,0,.pdf,
Прочее\ist_ino.pdf,{},NO_PDN,0,.pdf,
Прочее\ist_isk.pdf,{'обычные': 27},УЗ-3,27,.pdf,
Прочее\ist_soc_rab.pdf,"{'обычные': 27, 'специальные': 3}",УЗ-1,30,.pdf,
Прочее\IT-1-L01_Introduction.pdf,{},NO_PDN,0,.pdf,
Прочее\IT_Policy_2024.pdf,{},NO_PDN,0,.pdf,
Прочее\it_resh.pdf,"{'обычные': 12, 'специальные': 1}",УЗ-1,13,.pdf,
Прочее\IVD_2__1_Gorgorova.pdf_0704d8bae0.pdf,"{'обычные': 16, 'специальные': 3}",УЗ-1,19,.pdf,
Прочее\izo.pdf,{'обычные': 6},УЗ-3,6,.pdf,
Прочее\izveshenie-015.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\izveshenie_013.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\izveshenie_014.pdf,{'обычные': 4},УЗ-4,4,.pdf,
Прочее\JMS_OTHA_Call_for_papers.pdf,{},NO_PDN,0,.pdf,
Прочее\JMS_YM_Call_for_papers.pdf,{},NO_PDN,0,.pdf,
Прочее\JPG_v_PDF.pdf,{},NO_PDN,0,.pdf,
Прочее\KA07_07.tif,{},NO_PDN,0,.tif,
Прочее\KA10_04.tif,{},NO_PDN,0,.tif,
Прочее\KA13_01.tif,{},NO_PDN,0,.tif,
Прочее\KA38_06.tif,{'обычные': 1},УЗ-4,1,.tif,
Прочее\katalog_app_baki.pdf,"{'обычные': 7, 'специальные': 1}",УЗ-1,8,.pdf,
Прочее\katalog_app_magistri.pdf,"{'обычные': 7, 'специальные': 1}",УЗ-1,8,.pdf,
Прочее\KCP_asp_2025.pdf,"{'обычные': 78, 'специальные': 2}",УЗ-1,80,.pdf,
Прочее\KCP_bs_2025.pdf,"{'обычные': 46, 'платёжные': 2, 'специальные': 2}",УЗ-1,50,.pdf,
Прочее\KCP_mag_2025.pdf,"{'обычные': 67, 'специальные': 2}",УЗ-1,69,.pdf,
Прочее\KD_013.pdf,{'обычные': 13},УЗ-3,13,.pdf,
Прочее\KD_014_rus.pdf,"{'обычные': 19, 'специальные': 1}",УЗ-1,20,.pdf,
Прочее\KD_SPA_2023.pdf,"{'обычные': 34, 'специальные': 1}",УЗ-1,35,.pdf,
Прочее\KGU_conf-info.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Kleyner_seminar-info.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Kol_dog_2024-2027.pdf,{},NO_PDN,0,.pdf,
Прочее\kol_vo_m.pdf,{'обычные': 4},УЗ-4,4,.pdf,
Прочее\kol_vo_mag.pdf,{'обычные': 7},УЗ-3,7,.pdf,
Прочее\kol_vo_m_ino_dop.pdf,{'обычные': 7},УЗ-3,7,.pdf,
Прочее\komm_d.pdf,{},NO_PDN,0,.pdf,
Прочее\komp_teh.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Kratkaja_instrukcija_auditora.pdf,{},NO_PDN,0,.pdf,
Прочее\kreativ_ind.pdf,{},NO_PDN,0,.pdf,
Прочее\kreativ_kom.pdf,{},NO_PDN,0,.pdf,
Прочее\KS07_07.tif,{'обычные': 1},УЗ-4,1,.tif,
Прочее\KS09_01.tif,{},NO_PDN,0,.tif,
Прочее\KS13_01.tif,{},NO_PDN,0,.tif,
Прочее\Language_Teaching_in_the_Modern_Digital_Era.pdf,{},NO_PDN,0,.pdf,
Прочее\letter1.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Letter_approval_the_Order_458.pdf,{},NO_PDN,0,.pdf,
Прочее\Letter_Pension_Fund_of_RF_on_RO.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\license.pdf,{},NO_PDN,0,.pdf,
Прочее\LICENSE_1_0.txt,{},NO_PDN,0,.txt,
Прочее\Licen_29.01.16.pdf,{},NO_PDN,0,.pdf,
Прочее\Life%20safety.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\literatura.pdf,{},NO_PDN,0,.pdf,
Прочее\lit_ino.pdf,{'обычные': 6},УЗ-3,6,.pdf,
Прочее\LLM_brochure_2025.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\lodz-university-of-technology-on-the-path-of-sustainable-development_0.pdf,{'биометрические': 1},УЗ-2,1,.pdf,
Прочее\MAG.docx,{},NO_PDN,0,.docx,
Прочее\mag_lk_2025.pdf,{},NO_PDN,0,.pdf,
Прочее\Management%20advances%20in%20hospitality.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\Manual_E-prihlaska-III-stupen.pdf,{},NO_PDN,0,.pdf,
Прочее\mash_ob.pdf,"{'обычные': 15, 'платёжные': 4}",УЗ-2,19,.pdf,
Прочее\Master%20DS-1_merged.pdf,{},NO_PDN,0,.pdf,
Прочее\matematika.pdf,"{'обычные': 1, 'специальные': 1}",УЗ-1,2,.pdf,
Прочее\matematika_ino.pdf,"{'обычные': 5, 'биометрические': 1, 'специальные': 1}",УЗ-1,7,.pdf,
Прочее\mat_mod.pdf,"{'обычные': 12, 'платёжные': 1, 'специальные': 1}",УЗ-1,14,.pdf,
Прочее\MBA_brochure_2025.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\mc201109.pdf,"{'обычные': 23, 'платёжные': 1, 'биометрические': 1}",УЗ-1,25,.pdf,
Прочее\mc201205.pdf,"{'обычные': 23, 'платёжные': 2, 'биометрические': 1, 'специальные': 1}",УЗ-1,27,.pdf,
Прочее\mc201308.pdf,"{'обычные': 29, 'биометрические': 1, 'специальные': 1}",УЗ-1,31,.pdf,
Прочее\MCA_brochure_2025.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\mechanical_engg_2025.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\Media-Kit_KG_2020.pdf,"{'обычные': 177, 'специальные': 2}",УЗ-1,179,.pdf,
Прочее\meteorolog.pdf,"{'обычные': 2, 'специальные': 1}",УЗ-1,3,.pdf,
Прочее\metod_prof.pdf,{'обычные': 4},УЗ-4,4,.pdf,
Прочее\metod_r.pdf,"{'обычные': 23, 'специальные': 2}",УЗ-1,25,.pdf,
Прочее\Metod_Rek_Rating2015.pdf,{},NO_PDN,0,.pdf,
Прочее\Mineral_Resources__vitoshko.pdf,{},NO_PDN,0,.pdf,
Прочее\mn1p_2016.docx,{},NO_PDN,0,.docx,
Прочее\Modern Microscopy.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\Modern%20technology%20for%20improving%20the%20productivity%20of%20regional%20studies%20communications.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\ModernSoftware_oral_exam.pdf,{},NO_PDN,0,.pdf,
Прочее\Molecular_spectrostroscopy.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\mpharma_2025.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\mpt_2025.pdf,"{'обычные': 1, 'биометрические': 1}",УЗ-1,2,.pdf,
Прочее\MSC_DS_2025.pdf,"{'обычные': 1, 'платёжные': 5}",УЗ-2,6,.pdf,
Прочее\mtech_2025.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\m_lit.pdf,{'обычные': 6},УЗ-3,6,.pdf,
Прочее\N413_17_05_2012.rtf,{},NO_PDN,0,.rtf,
Прочее\Nanoscale_Structure_of_Materials.pdf,{},NO_PDN,0,.pdf,
Прочее\Nanoscale_substance_structure.pdf,{},NO_PDN,0,.pdf,
Прочее\Nanotechnologies.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\National_association_scientific_publications_conf-info.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\nats.pdf,{},NO_PDN,0,.pdf,
Прочее\New%20managerial%20opportunities%20for%20modern%20organization.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\NIR_report-info.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\ni_grant.pdf,{'обычные': 12},УЗ-3,12,.pdf,
Прочее\Notification & Invitation - 11th Convocation of Manipal University Jaipur.pdf,{'обычные': 3},УЗ-4,3,.pdf,
Прочее\notification-high-court.pdf,{},NO_PDN,0,.pdf,
Прочее\NSS_Actvities.pdf,{},NO_PDN,0,.pdf,
Прочее\obedin%20ped.pdf,{},NO_PDN,0,.pdf,
Прочее\obrab_inf.pdf,"{'обычные': 4, 'специальные': 1}",УЗ-1,5,.pdf,
Прочее\obrazDeatelnost.pdf,{},NO_PDN,0,.pdf,
Прочее\obsh.pdf,"{'обычные': 9, 'специальные': 3}",УЗ-1,12,.pdf,
Прочее\obsh_e.pdf,{'обычные': 5},УЗ-3,5,.pdf,
Прочее\obsh_ino.pdf,{},NO_PDN,0,.pdf,
Прочее\odtu-kampus-haritasi.pdf,{},NO_PDN,0,.pdf,
Прочее\Oil%20Pollution%20and%20Self-Cleaning%20Course%20syllabus_0.docx,{},NO_PDN,0,.docx,
Прочее\Ombadsuperson.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\Orbit.pdf,{},NO_PDN,0,.pdf,
Прочее\organigramme-general-1.pdf,{},NO_PDN,0,.pdf,
Прочее\osn_alg.pdf,{'специальные': 1},УЗ-2,1,.pdf,
Прочее\osn_bio.pdf,{'обычные': 15},УЗ-3,15,.pdf,
Прочее\osn_el.pdf,"{'обычные': 8, 'специальные': 1}",УЗ-1,9,.pdf,
Прочее\osn_fin.pdf,{},NO_PDN,0,.pdf,
Прочее\osn_geo_obr.pdf,"{'обычные': 22, 'специальные': 3}",УЗ-1,25,.pdf,
Прочее\osn_hud_d.pdf,"{'обычные': 4, 'специальные': 2}",УЗ-1,6,.pdf,
Прочее\osn_mat_obr.pdf,{'обычные': 6},УЗ-3,6,.pdf,
Прочее\osn_r.pdf,{},NO_PDN,0,.pdf,
Прочее\osn_russ_lit.pdf,{},NO_PDN,0,.pdf,
Прочее\osn_serv.pdf,"{'обычные': 6, 'специальные': 1}",УЗ-1,7,.pdf,
Прочее\osn_soc_ped.pdf,"{'обычные': 6, 'специальные': 1}",УЗ-1,7,.pdf,
Прочее\osn_soc_rab.pdf,"{'обычные': 6, 'специальные': 2}",УЗ-1,8,.pdf,
Прочее\osn_turism.pdf,"{'обычные': 3, 'специальные': 2}",УЗ-1,5,.pdf,
Прочее\osn_zh.pdf,{},NO_PDN,0,.pdf,
Прочее\osob_prava.pdf,"{'обычные': 5, 'специальные': 1}",УЗ-1,6,.pdf,
Прочее\otbor_k.pdf,"{'обычные': 289, 'специальные': 2}",УЗ-1,291,.pdf,
Прочее\Otchet%202016.pdf,"{'обычные': 648, 'платёжные': 66, 'биометрические': 1, 'специальные': 3}",УЗ-1,718,.pdf,
Прочее\Otchet_2011.pdf,"{'обычные': 42, 'специальные': 1}",УЗ-1,43,.pdf,
Прочее\Otchet_2012.pdf,"{'обычные': 49, 'специальные': 1}",УЗ-1,50,.pdf,
Прочее\Otchet_2013.pdf,{'обычные': 44},УЗ-3,44,.pdf,
Прочее\Otchet_2014_rus.pdf,"{'обычные': 62, 'платёжные': 1, 'биометрические': 1}",УЗ-1,64,.pdf,
Прочее\Otchet_mezhdunarodnaya_deyatelnost_2016.pdf,"{'обычные': 393, 'платёжные': 3, 'специальные': 2}",УЗ-1,398,.pdf,
Прочее\Otchet_nauka_2016.pdf,"{'обычные': 300, 'специальные': 2}",УЗ-1,302,.pdf,
Прочее\Ovsepyan%20Course%20syllabus.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\P1000_15.06.20.pdf,{},NO_PDN,0,.pdf,
Прочее\P1011.pdf,{},NO_PDN,0,.pdf,
Прочее\P1026.pdf,{},NO_PDN,0,.pdf,
Прочее\p103od2016.pdf,{},NO_PDN,0,.pdf,
Прочее\P1077.pdf,{},NO_PDN,0,.pdf,
Прочее\P1078.pdf,{},NO_PDN,0,.pdf,
Прочее\P1090.pdf,{},NO_PDN,0,.pdf,
Прочее\P1098.pdf,{},NO_PDN,0,.pdf,
Прочее\p126od.pdf,{},NO_PDN,0,.pdf,
Прочее\P129-OD_03.06.24.pdf,{},NO_PDN,0,.pdf,
